ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;16;1;22;494
2009;22;2;21;-6210
2009;42;1;25;49790
2009;28;1;7;712
2009;42;2;4;-17132
2009;29;2;9;-3127
2009;35;2;6;-57621
2009;23;1;3;5784
2009;29;1;17;21920
2009;27;1;6;36
2009;12;2;16;-6562
2009;16;1;1;400
2009;52;2;6;-1049
2009;28;2;11;-1758
2009;43;1;5;5596
2009;24;1;20;4186
2009;41;1;17;46765
2009;15;1;9;1018
2009;23;2;10;-3976
2009;23;1;14;1679
2009;17;1;24;34
2009;42;2;16;-164620
2009;32;2;23;-6866
2009;53;1;3;960
2009;11;1;21;9819
2009;12;1;25;1601
2009;35;1;19;924282
2009;52;1;19;46375
2009;15;2;17;-10257
2009;41;2;9;-10003
2009;27;2;19;-4238
2009;43;1;13;74679
2009;12;2;4;-19
2009;23;2;17;-10772
2009;24;2;23;-4880
2009;26;1;8;2613
2009;41;1;10;22601
2009;41;2;14;-4761
2009;29;2;3;-4299
2009;12;2;22;-385
2009;28;2;12;-677
2009;13;2;15;-20691
2009;32;1;20;17180
2009;12;2;1;-19
2009;16;1;16;6705
2009;14;1;19;534
2009;25;2;13;-11318
2009;22;2;15;-18175
2009;15;2;10;-1238
2009;23;1;9;2521
2009;26;2;5;-1015
2009;31;1;24;10733
2009;15;1;14;1864
2009;28;2;18;-216
2009;28;2;2;-1231
2009;42;2;1;-2491
2009;51;1;24;133
2009;11;1;15;36240
2009;53;2;17;-8588
2009;15;1;3;3661
2009;25;1;8;958
2009;29;2;14;-2591
2009;16;1;4;165
2009;41;2;3;-21472
2009;25;2;5;-130
2009;29;1;10;6239
2009;16;2;25;-535
2009;42;2;22;-12489
2009;26;2;13;-57564
2009;53;1;9;1040
2009;11;2;14;-457
2009;13;1;3;2181
2009;25;2;11;-2792
2009;51;2;22;-3778
2009;11;1;10;353
2009;22;1;3;504
2009;24;2;6;-76
2009;33;2;4;-8588
2009;23;2;21;-41844
2009;25;1;7;875
2009;50;2;4;-1061
2009;21;1;4;656
2009;29;1;15;108335
2009;43;1;2;8881
2009;17;2;16;-12426
2009;33;1;25;10887
2009;42;1;24;13471
2009;50;1;25;43623
2009;51;2;1;-1000
2009;21;2;25;-21458
2009;41;1;15;107303
2009;31;2;1;-10964
2009;43;1;12;63380
2009;43;1;18;5808
2009;12;1;24;647
2009;24;1;19;15621
2009;26;2;11;-8267
2009;22;1;14;515
2009;50;2;16;-41986
2009;21;1;16;27760
2009;27;2;20;-2549
2009;13;2;10;-4842
2009;13;1;14;1366
2009;53;2;21;-58131
2009;17;1;25;8897
